tStart,tR,xR,yR,theta,xR_fine,yR_fine,tV,xV,yV,zRotV,tP,gxP,gyP,gzP,axP,ayP,azP
1708006203.5827754,1708006203.588422,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006203.588422,-1266.8556271106752,-1330.1501084851789,0.9701922661933076,,,,,,,
1708006203.6470509,1708006203.6546357,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006203.655383,-1266.8555630542564,-1330.1523773420322,0.9701967682876526,,,,,,,
1708006203.7103024,1708006203.7157412,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006203.7157412,-1266.8515431050535,-1330.1438250520737,0.9701979044752608,,,,,,,
1708006203.771837,1708006203.7765326,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006203.7775493,-1266.856487437826,-1330.1400792032073,0.9701985459708018,,,,,,,
1708006203.8347821,1708006203.8398454,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006203.840164,-1266.8555931044718,-1330.142838917059,0.970198513933321,,,,,,,
1708006203.8953078,1708006203.9008074,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006203.9009454,-1266.8595058102026,-1330.1447473118667,0.9701917850919338,,,,,,,
1708006203.9565737,1708006203.962558,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006203.962558,-1266.8530617503552,-1330.143908438974,0.9701962649770706,,,,,,,
1708006204.0190935,1708006204.0232966,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.024297,-1266.8536876938829,-1330.1479009667012,0.9701970587647403,,,,,,,
1708006204.0807362,1708006204.0855596,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.0855596,-1266.8262778579935,-1330.1521027984495,0.9701214427465502,,,,,,,
1708006204.1433563,1708006204.1489024,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.1492136,-1266.7900420258075,-1330.1521226495142,0.9701834368447491,,,,,,,
1708006204.2064488,1708006204.211395,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.2123983,-1266.838501319086,-1330.1331579323892,0.9702487368910423,,,,,,,
1708006204.2678766,1708006204.2724733,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.2724733,-1266.8673999426915,-1330.1255263796147,0.9703139994158736,,,,,,,
1708006204.3303308,1708006204.3353431,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.3353431,-1266.8552275344914,-1330.1391200398862,0.9701975494318363,,,,,,,
1708006204.3917248,1708006204.3978257,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.3978257,-1266.8567272910457,-1330.1400103794497,0.9702005215640552,,,,,,,
1708006204.4531379,1708006204.4582849,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.4585814,-1266.8580931747124,-1330.139158705288,0.9702001281400883,,,,,,,
1708006204.5157814,1708006204.5223992,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.5223992,-1266.8955713237306,-1330.1234398741942,0.9702568448833269,,,,,,,
1708006204.577864,1708006204.583945,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.583945,-1266.893051155942,-1330.135543842106,0.9702550530458882,,,,,,,
1708006204.6406481,1708006204.6539478,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.6539478,-1266.9041599555887,-1330.1242856905444,0.9702530441761325,,,,,,,
1708006204.7180312,1708006204.7222326,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.7222326,-1266.891646430709,-1330.1362735962584,0.9702392345666808,,,,,,,
1708006204.7784727,1708006204.7846718,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.7846718,-1266.887262611486,-1330.1369014338047,0.9702328240175654,,,,,,,
1708006204.8396287,1708006204.844835,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.844835,-1266.8677627250486,-1330.1446205635045,0.9702778213049477,,,,,,,
1708006204.9007535,1708006204.9053874,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.9053874,-1266.864428039447,-1330.1399879869386,0.9702857623702523,,,,,,,
1708006204.9626212,1708006204.967924,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006204.9682326,-1266.8912288619997,-1330.123640021952,0.9702437634270987,,,,,,,
1708006205.0242941,1708006205.0312762,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.0312762,-1266.8898969741906,-1330.1211376701597,0.9702555220468703,,,,,,,
1708006205.0854182,1708006205.0902815,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.0902815,-1266.8928224702809,-1330.118883389379,0.9702568746834144,,,,,,,
1708006205.1475706,1708006205.1526358,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.1526358,-1266.8970568708164,-1330.1190063915824,0.9702463899854716,,,,,,,
1708006205.2107124,1708006205.2154937,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.2154937,-1266.8917756051271,-1330.1166566792356,0.9702483417829404,,,,,,,
1708006205.2726092,1708006205.2778325,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.2781122,-1266.8952914987044,-1330.1182368633522,0.9702491059744874,,,,,,,
1708006205.3352885,1708006205.339591,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.340277,-1266.8969593103827,-1330.118775413947,0.9702557303214642,,,,,,,
1708006205.397013,1708006205.4012456,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.4019883,-1266.8962759954388,-1330.1147723814825,0.9702540136114511,,,,,,,
1708006205.4596364,1708006205.4647846,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.4650235,-1266.89450610546,-1330.1135862536637,0.9702486892962932,,,,,,,
1708006205.5217211,1708006205.526619,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.526619,-1266.9033506218038,-1330.116801770826,0.9702459535553064,,,,,,,
1708006205.5842783,1708006205.5889246,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.5895777,-1266.9017975988431,-1330.128240593103,0.9702509851670011,,,,,,,
1708006205.646056,1708006205.653692,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.653692,-1266.9138124744684,-1330.1307821798139,0.970263688056391,,,,,,,
1708006205.7075176,1708006205.7153828,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.7163835,-1266.9118028491407,-1330.1338635195207,0.9702613650637896,,,,,,,
1708006205.7691293,1708006205.7763236,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.7772708,-1266.9013701987033,-1330.1523726826858,0.9702844255457547,,,,,,,
1708006205.83073,1708006205.8370183,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.8370183,-1266.898320826068,-1330.1551942075198,0.9702826439402851,,,,,,,
1708006205.8919325,1708006205.8971186,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.8971186,-1266.8879440073918,-1330.1776720560842,0.9702184949803695,,,,,,,
1708006205.9524775,1708006205.9578364,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006205.958116,-1266.8895911499726,-1330.1790294424497,0.9702225646583283,,,,,,,
1708006206.0139108,1708006206.0187762,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.0190692,-1266.8949417060462,-1330.1259511152696,0.9702544538636381,,,,,,,
1708006206.0762928,1708006206.08288,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.0831227,-1266.8949222033107,-1330.1249610637274,0.9702581808564789,,,,,,,
1708006206.139114,1708006206.1436188,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.1436188,-1266.8931145530314,-1330.1244079283092,0.9702512597406349,,,,,,,
1708006206.2007744,1708006206.2055218,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.2055218,-1266.8947699229675,-1330.1248468642082,0.9702552276446245,,,,,,,
1708006206.2630558,1708006206.268567,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.2688744,-1266.892111133421,-1330.1241672566587,0.97025295208418,,,,,,,
1708006206.3249679,1708006206.3307369,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.3309088,-1266.8938246262708,-1330.1230227293356,0.9702494018167052,,,,,,,
1708006206.3874865,1708006206.3928788,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.3928788,-1266.8951509884364,-1330.1211022717048,0.9702536477414212,,,,,,,
1708006206.4489145,1708006206.4538763,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.4538763,-1266.9039474769666,-1330.140534305499,0.9702607671896645,,,,,,,
1708006206.511746,1708006206.5177255,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.5177255,-1266.903924591033,-1330.1369230740875,0.9702536812514952,,,,,,,
1708006206.574484,1708006206.5811572,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.5811572,-1266.8937603098227,-1330.1236535305127,0.9702502291336151,,,,,,,
1708006206.6360588,1708006206.6539788,26.82476351151982,22.843972131841188,-0.04381690974777315,nan,nan,1708006206.6541977,-1266.893597217268,-1330.1220628149345,0.9702534740950222,,,,,,,
1708006206.713532,1708006206.7178564,26.8248258085373,22.843956364570992,-0.0438870662224745,nan,nan,1708006206.7178564,-1266.8973621349332,-1330.1242836750325,0.9702517674249851,,,,,,,
1708006206.775438,1708006206.7814796,26.82482974556256,22.843950249456736,-0.04389591174816077,nan,nan,1708006206.7816598,-1266.9016598335252,-1330.1251115465634,0.9702488776320038,,,,,,,
1708006206.8360493,1708006206.841198,26.824830027186113,22.84394997883562,-0.04389496308319351,nan,nan,1708006206.841198,-1266.8961447296153,-1330.1236491043182,0.9702487562813643,,,,,,,
1708006206.8980284,1708006206.9028037,26.824830105943228,22.843949549236804,-0.04389592121262649,nan,nan,1708006206.9028037,-1266.895900622906,-1330.1257664479474,0.9702502076560223,,,,,,,
1708006206.9594703,1708006206.96482,26.824830687078485,22.843949239204132,-0.043897101025622894,nan,nan,1708006206.96482,-1266.8987339533894,-1330.1234825446331,0.9702484839326084,,,,,,,
1708006207.0221786,1708006207.0272548,26.824830904731318,22.843949358874116,-0.04389569274594713,nan,nan,1708006207.0272548,-1266.8996168144088,-1330.1246645572344,0.9702457412778485,,,,,,,
1708006207.0851414,1708006207.091712,26.824831078238816,22.843949077693967,-0.04389712873592298,nan,nan,1708006207.091712,-1266.8964558442194,-1330.1235425322322,0.9702488177747918,,,,,,,
1708006207.146955,1708006207.1519706,26.824830274629182,22.84394890108627,-0.04389668074164794,nan,nan,1708006207.1519706,-1266.8989437527755,-1330.1274641382788,0.9701843251506004,,,,,,,
1708006207.20891,1708006207.2137444,26.82483597609223,22.843866484755253,-0.04391186551282801,nan,nan,1708006207.2137444,-1268.2615526669385,-1330.104197525244,0.970188202663337,,,,,,,
1708006207.2693646,1708006207.274661,26.82473527010596,22.840573109226472,-0.04390139529013598,nan,nan,1708006207.274661,-1271.8594043936832,-1329.9779370908434,0.9702829881805425,,,,,,,
1708006207.3316483,1708006207.3358634,26.824586218917194,22.83725096279764,-0.04393625444242267,nan,nan,1708006207.3368695,-1277.7282278037562,-1329.7777410553163,0.9702597228343407,,,,,,,
1708006207.3926458,1708006207.3989928,26.824232660574538,22.831397934808006,-0.04403508446183834,nan,nan,1708006207.3991854,-1285.8461875098724,-1329.5442669407294,0.9700025909975635,,,,,,,
1708006207.4536924,1708006207.4625876,26.825248505285337,22.82654993726155,-0.043844990606983575,nan,nan,1708006207.4625876,-1295.2130513292752,-1329.4134286764051,0.9695088028295846,,,,,,,
1708006207.5164666,1708006207.5218058,26.824631878112775,22.814672294500298,-0.044109919457718486,nan,nan,1708006207.5218058,-1305.5888276858445,-1329.3460379840471,0.9689047606226453,,,,,,,
1708006207.5791125,1708006207.583214,26.823879567883665,22.7979366923283,-0.04427509906535259,nan,nan,1708006207.5842123,-1316.9851902195373,-1329.303280187615,0.9685716047890762,,,,,,,
1708006207.6419048,1708006207.6519017,26.823596296873898,22.790583132696018,-0.04427365355193637,nan,nan,1708006207.6519017,-1326.1740904245876,-1329.2514065888827,0.9687605225943534,,,,,,,
1708006207.7039459,1708006207.7091138,26.823263603700514,22.781243601180957,-0.04403531369306875,nan,nan,1708006207.7092516,-1335.252969129477,-1329.0395300897396,0.9692817313289855,,,,,,,
1708006207.7655995,1708006207.770519,26.8229268624283,22.773567338581728,-0.04378502218060093,nan,nan,1708006207.770519,-1344.473863337062,-1328.785483290538,0.9695578685837174,,,,,,,
1708006207.8277369,1708006207.8317466,26.822145684995952,22.757103951362893,-0.044088314580662376,nan,nan,1708006207.8327293,-1354.025433996769,-1328.585909513171,0.9695985779787255,,,,,,,
1708006207.88867,1708006207.894798,26.821778939084933,22.74901466214647,-0.044183503611704165,nan,nan,1708006207.894798,-1365.1203009336155,-1328.3617547542249,0.969693832932333,,,,,,,
1708006207.9507825,1708006207.9563055,26.82140859970065,22.74089621729084,-0.04428048689857749,nan,nan,1708006207.9563055,-1374.6696025964934,-1328.2882582295765,0.9694019379125763,,,,,,,
1708006208.0126777,1708006208.018084,26.82102737933174,22.732054095947774,-0.04446224637315159,nan,nan,1708006208.018378,-1384.017030530016,-1328.3712068410634,0.9689668506852609,,,,,,,
1708006208.0751214,1708006208.08132,26.821922558709836,22.716585350435246,-0.04475362517332093,nan,nan,1708006208.08132,-1393.396276617957,-1328.4457803371126,0.968761645439468,,,,,,,
1708006208.137387,1708006208.1421778,26.821635195408984,22.708643684938544,-0.044624710776325106,nan,nan,1708006208.1421778,-1402.8211630864355,-1328.4596225703394,0.9688350225692953,,,,,,,
1708006208.1997025,1708006208.2103944,26.82127692404689,22.69996844420059,-0.0443576256680783,nan,nan,1708006208.2106833,-1413.6749162982537,-1328.3379806119303,0.9691804352422205,,,,,,,
1708006208.2617908,1708006208.266347,26.82094404136356,22.692149250191022,-0.04411497944184667,nan,nan,1708006208.266347,-1422.769943095295,-1328.083468131361,0.9694829089883917,,,,,,,
1708006208.3232205,1708006208.3282578,26.820123944445623,22.67560870096244,-0.04416748161384377,nan,nan,1708006208.3282578,-1431.7060877982055,-1327.8399935026941,0.9697470907975397,,,,,,,
1708006208.3861234,1708006208.3922281,26.819751513171724,22.66764302384941,-0.04413859943871835,nan,nan,1708006208.3922281,-1441.0029961701255,-1327.5115192189348,0.9700747337003027,,,,,,,
1708006208.448405,1708006208.452647,26.81930097510303,22.658832863526964,-0.04422402511790872,nan,nan,1708006208.452647,-1450.5868153503668,-1327.2473661876327,0.9699296165942204,,,,,,,
1708006208.509398,1708006208.516793,26.818907141983363,22.651604791435176,-0.04442594424386336,nan,nan,1708006208.516793,-1462.0763412696847,-1327.1675408931833,0.9692955366064807,,,,,,,
1708006208.5720062,1708006208.5779924,26.81847818651168,22.642710001234974,-0.04460625826467867,nan,nan,1708006208.5779924,-1471.8436337130838,-1327.136890270331,0.9687540912655374,,,,,,,
1708006208.6345587,1708006208.6675596,26.81813486065725,22.634582009007627,-0.0446514636817289,nan,nan,1708006208.6675596,-1486.5381522135042,-1327.2258828803806,0.9684553131634328,,,,,,,
1708006208.7282283,1708006208.7338245,26.81768553295734,22.60923356557818,-0.04450201949373911,nan,nan,1708006208.7338245,-1497.6646818441684,-1327.2396752888708,0.9687321292107157,,,,,,,
1708006208.7897546,1708006208.793925,26.817458894652738,22.602217970366535,-0.04431467607626796,nan,nan,1708006208.793925,-1506.963524983059,-1327.155864401004,0.9694113374894183,,,,,,,
1708006208.8528073,1708006208.8575435,26.817171397193725,22.594260172280777,-0.04414933960545259,nan,nan,1708006208.8578336,-1516.175642505003,-1327.027956753853,0.9700100443053962,,,,,,,
1708006208.916042,1708006208.9222069,26.816820607072867,22.585481846453575,-0.0441861538823446,nan,nan,1708006208.9222069,-1525.5820792732404,-1326.837891591465,0.9699855860504263,,,,,,,
1708006208.978239,1708006208.982302,26.816376330054567,22.57667980188859,-0.04450778341832189,nan,nan,1708006208.982302,-1534.8838173185036,-1326.6638198649905,0.9696189467768735,,,,,,,
1708006209.0403037,1708006209.0445788,26.81546911660735,22.56076452273633,-0.04515662276702424,nan,nan,1708006209.0445788,-1546.0233716900043,-1326.7048985784575,0.9687809634583661,,,,,,,
1708006209.1028128,1708006209.1068661,26.81507611104339,22.551920574174552,-0.0453043084466966,nan,nan,1708006209.1079245,-1555.5459642500257,-1326.80256672443,0.9683445200572519,,,,,,,
1708006209.1647391,1708006209.1710386,26.814697763575715,22.543085651864622,-0.045123159613483683,nan,nan,1708006209.1713486,-1565.3315997242569,-1326.935989849478,0.9681977484659735,,,,,,,
1708006209.2265568,1708006209.2316005,26.81438487455166,22.5359213618976,-0.04501814359582004,nan,nan,1708006209.23211,-1575.1203162436643,-1327.0450327403191,0.9681829833282576,,,,,,,
1708006209.290518,1708006209.295766,26.814054804728336,22.527122684074122,-0.04488992799167371,nan,nan,1708006209.2959042,-1586.1734881268478,-1326.9862817192322,0.9686503404111813,,,,,,,
1708006209.3509343,1708006209.3564157,26.814423414629587,22.511631893944557,-0.044586678926981184,nan,nan,1708006209.3564157,-1595.3889494104328,-1326.6921272134157,0.9694015339136515,,,,,,,
1708006209.4129403,1708006209.4181652,26.81405938712073,22.50367873991868,-0.044526391422100686,nan,nan,1708006209.4184065,-1604.5428317009003,-1326.3624967552196,0.9697415881668193,,,,,,,
1708006209.4747164,1708006209.4804468,26.813640694296243,22.495705891237,-0.044580087420779395,nan,nan,1708006209.4809058,-1613.7364330354994,-1325.952975997821,0.9694501711941105,,,,,,,
1708006209.5368514,1708006209.541735,26.813178717553285,22.48775843925505,-0.04488715642376183,nan,nan,1708006209.541735,-1623.482606477307,-1325.9292291767015,0.968706078244746,,,,,,,
