tStart,tR,xR,yR,theta,xR_fine,yR_fine,tV,xV,yV,zRotV,tP,gxP,gyP,gzP,axP,ayP,azP
1708010191.880329,1708010191.8870618,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010191.8871593,11.650398442296993,-1695.8711534355837,1.013603632395608,,,,,,,
1708010191.9431453,1708010191.9477992,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010191.9488025,11.647712586042948,-1695.8727152645374,1.0136023548775202,,,,,,,
1708010192.0052028,1708010192.0099504,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.0099504,11.646850178193104,-1695.87516888896,1.013605034155129,,,,,,,
1708010192.0676486,1708010192.072293,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.072718,11.647499916940587,-1695.8742914475986,1.0135998353466742,,,,,,,
1708010192.1305645,1708010192.1365888,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.1365888,11.648668931350763,-1695.8731162386744,1.0135991576998284,,,,,,,
1708010192.1931603,1708010192.1978316,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.198839,11.648393280989664,-1695.87310305629,1.0136000972925352,,,,,,,
1708010192.254338,1708010192.2588077,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.259804,11.644724533829036,-1695.8729860992305,1.0135997286305727,,,,,,,
1708010192.3164625,1708010192.3240564,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.3240564,11.647955314086232,-1695.8761430435088,1.0135999345083453,,,,,,,
1708010192.3777838,1708010192.382612,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.382612,11.650382843231306,-1695.873181538437,1.013599338116934,,,,,,,
1708010192.4398131,1708010192.4477398,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.4477398,11.648868320601675,-1695.8727238798915,1.0136013237083732,,,,,,,
1708010192.5015533,1708010192.5077758,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.5077758,11.646520869638891,-1695.87626074738,1.0135982700883475,,,,,,,
1708010192.5632126,1708010192.567807,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.5688136,11.650601887300487,-1695.873446531592,1.013597967090138,,,,,,,
1708010192.6240685,1708010192.6315324,27.2151145371884,24.112678861492707,-0.00012492373944400503,NaN,NaN,1708010192.6315324,11.648735256217652,-1695.873638911409,1.013606011819094,,,,,,,
